jit_enabled,total_startup_cost,total_cost,max_plan_rows,total_plan_width,Seq Scan,Hash Join,Nested Loop,Aggregate,Sort,Other_Operators,query_id,total_energy_consumption_memory_plus_cpu,Execution_Time,dataset_scale_gb
0.0,922401.35,1066260.2,2464138,969,1,0,0,2,1,1,1,21.76,1.51,1.0
0.0,101790.43000000002,159127.74,160000,1272,4,2,5,1,1,9,2,61.48,5.85,1.0
0.0,803063.9600000001,1078789.1199999999,308394,276,2,1,1,2,2,3,3,26.48,1.18,1.0
0.0,269083.32,371163.82,21598,128,1,0,1,2,1,2,4,6.68,0.32,1.0
0.0,414719.57,610943.8400000001,76266,588,4,3,2,2,2,6,5,15.96,1.1,1.0
0.0,509287.29,678147.13,47215,108,1,0,0,2,0,1,6,4.01,0.29,1.0
0.0,383047.06000000006,472924.94,144908,890,2,2,3,2,1,8,7,60.86,5.65,1.0
0.0,300018.91,738749.2,16490,644,4,3,4,2,1,8,8,8.56,0.6,1.0
0.0,320589.1799999999,517566.0199999999,120300,708,3,2,3,2,1,6,9,28.72,2.39,1.0
0.0,817766.4600000002,1198110.18,62500,1864,3,2,1,2,2,4,10,14.81,0.75,1.0
0.0,19167.96,29041.420000000002,32000,192,2,0,4,2,1,6,11,2.02,0.16,1.0
0.0,1173859.9500000002,1414537.44,625000,185,2,1,0,2,1,2,12,5.53,0.44,1.0
0.0,645532.3900000002,797810.3600000001,618687,104,1,1,0,3,2,3,13,9.64,0.75,1.0
0.0,483111.34,788364.7799999999,83333,259,2,1,0,2,0,2,14,3.66,0.29,1.0
0.0,922401.35,1066260.2,2464138,969,1,0,0,2,1,1,15,7.86,0.66,1.0
0.0,129590.84999999998,185799.41999999998,166667,300,2,1,0,1,2,3,16,5.99,0.5,1.0
0.0,209934.11000000002,583044.23,6001025,106,2,1,0,2,0,4,17,6.76,0.76,1.0
0.0,3292720.6500000004,4138185.7300000004,6001025,531,2,2,1,3,2,5,18,26.31,1.96,1.0
0.0,97070.03999999998,136547.86000000002,201,159,1,0,1,2,0,2,19,2.79,0.13,1.0
0.0,492392.43,663838.42,2693,277,2,1,2,1,1,8,20,13.14,1.14,1.0
0.0,346801.43999999994,577570.82,300938,398,2,1,4,1,2,7,21,32.63,2.29,1.0
0.0,49009.850000000006,65427.27000000001,1988,424,2,0,1,4,1,3,22,4.64,0.21,1.0
0.0,2833529.02,3282792.12,7389214,969,1,0,0,2,1,1,1,143.75,9.72,3.0
0.0,313964.9299999998,501374.7499999998,480061,1272,4,2,5,1,1,9,2,236.46,25.88,3.0
0.0,3260196.2199999993,4260046.84,944723,276,2,1,1,2,2,3,3,19.35,1.44,3.0
0.0,672974.7599999999,951455.29,72150,128,1,0,1,2,1,2,4,23.36,1.93,3.0
0.0,1532577.9499999997,2242799.6500000004,232983,588,4,3,2,2,2,6,5,129.82,9.33,3.0
0.0,1576844.6099999999,2101076.9099999997,143212,108,1,0,0,2,0,1,6,19.25,1.38,3.0
0.0,1188427.7599999998,1468170.7799999998,436119,890,2,2,3,2,1,8,7,579.67,53.44,3.0
0.0,928649.03,2293098.1600000006,49782,644,4,3,4,2,1,8,8,24.6,2.12,3.0
0.0,1636346.26,2312670.35,1875120,700,4,3,2,2,1,6,9,380.32,27.18,3.0
0.0,4154454.46,4846679.85,187500,1596,3,2,1,2,2,4,10,23.18,2.05,3.0
0.0,70043.09999999998,100566.38,96012,192,2,0,4,2,1,6,11,23.58,2.99,3.0
0.0,2635448.5000000005,3817574.5300000003,35996,170,1,0,1,2,1,2,12,21.82,1.63,3.0
0.0,1980499.5799999998,2446406.43,1874933,104,1,1,0,3,2,3,13,26.79,2.08,3.0
0.0,2412606.26,2916592.03,250000,250,2,1,0,2,0,2,14,11.02,0.93,3.0
0.0,2833529.02,3282792.12,7389214,969,1,0,0,2,1,1,15,37.11,2.85,3.0
0.0,393267.88,559726.8999999999,500063,300,2,1,0,1,2,3,16,11.94,0.95,3.0
0.0,638478.7400000001,1791573.4800000002,17993394,106,2,1,0,2,0,3,17,34.66,3.67,3.0
0.0,8330668.340000002,10655740.3,17993394,546,2,2,1,3,2,5,18,375.84,28.38,3.0
0.0,298592.38,421166.8300000001,610,159,1,0,1,2,0,2,19,6.32,0.39,3.0
0.0,2132122.5100000007,2865221.2999999993,8082,277,2,1,2,1,1,8,20,178.1,16.81,3.0
0.0,1728166.7200000002,4925736.33,2499082,382,2,1,4,1,2,7,21,29.83,2.04,3.0
0.0,140972.83000000002,191687.99000000002,5964,424,2,0,1,4,1,3,22,4.47,0.29,3.0
0.0,4720166.89,5469020.050000001,12305483,969,1,0,0,2,1,1,1,337.64,20.55,5.0
0.0,829310.9700000001,1449164.0400000003,799944,1272,4,2,5,1,1,9,2,491.33,44.71,5.0
0.0,6577995.390000001,8953003.95,6747562,288,3,2,0,2,2,3,3,154.32,8.46,5.0
0.0,1123601.38,1588710.4000000001,122119,128,1,0,1,2,1,2,4,189.31,14.12,5.0
0.0,4606515.5600000005,6770757.189999999,461522,626,5,4,1,2,2,6,5,195.35,14.27,5.0
0.0,2627174.04,3501023.63,241715,108,1,0,0,2,0,1,6,25.63,1.75,5.0
0.0,4534541.670000001,7320039.13,3758642,934,6,5,0,2,1,6,7,61.91,46.81,5.0
0.0,6073330.860000001,6881035.679999998,951756,708,7,6,1,2,1,8,8,69.74,4.77,5.0
0.0,10118594.1,12652519.56,12499972,761,6,5,0,2,1,6,9,396.04,19.75,5.0
0.0,8241385.949999998,10072811.070000002,3065826,1604,4,3,0,2,2,4,10,121.16,6.54,5.0
0.0,130992.04999999999,174599.50999999998,159989,260,3,1,3,3,1,6,11,388.0,27.21,5.0
0.0,4895703.640000001,6835585.010000001,3124592,190,2,1,0,2,1,2,12,315.75,15.75,5.0
0.0,2952475.34,3590010.97,3061470,92,1,1,0,3,1,3,13,109.7,6.95,5.0
0.0,4020876.62,4860847.95,416667,250,2,1,0,2,0,2,14,25.5,1.87,5.0
0.0,4720166.89,5469020.050000001,12305483,969,1,0,0,2,1,1,15,67.2,5.02,5.0
0.0,656611.43,933383.94,833275,300,2,1,0,1,2,3,16,28.88,1.5,5.0
0.0,1060466.7599999998,2981508.1399999997,29999932,106,2,1,0,2,0,3,17,322.03,29.27,5.0
0.0,10580153.619999997,17555390.189999998,29999932,350,0,0,1,2,2,7,18,778.89,52.47,5.0
0.0,476999.29000000004,674701.7999999999,962,159,1,0,1,2,0,2,19,10.97,1.27,5.0
0.0,5732493.34,7680571.66,13467,277,2,1,2,1,1,8,20,811.68,78.18,5.0
0.0,2940367.5200000005,8351909.8100000005,4166657,386,3,2,3,1,2,6,21,190.62,9.89,5.0
0.0,230919.69,315141.43,9942,424,2,0,1,4,1,3,22,6.25,0.38,5.0
