Query_Identifier,Dataset_Scale_Gigabytes,Optimization_Strategy,Total_Alternatives_Evaluated,Selected_Plan_Index,Winning_Plan_Estimated_Cost,Metric_Unit,Plan_Option_0_Cost_Seconds,Plan_Option_1_Cost_Seconds,Plan_Option_0_Cost_Joules,Plan_Option_1_Cost_Joules
1,1.0,PERFORMANCE,2,1,1.5439552068710327,Seconds,1.8648730516433716,1.5439552068710327,,
1,1.0,ECO,2,0,3.686964511871338,Joules,,,3.686964511871338,4.054835319519043
2,1.0,PERFORMANCE,2,1,1.698015809059143,Seconds,2.0089688301086426,1.698015809059143,,
2,1.0,ECO,2,0,3.4061288833618164,Joules,,,3.4061288833618164,3.817969799041748
3,1.0,PERFORMANCE,2,1,0.5965842008590698,Seconds,0.853739321231842,0.5965842008590698,,
3,1.0,ECO,2,0,2.6633682250976562,Joules,,,2.6633682250976562,3.158792018890381
4,1.0,PERFORMANCE,2,1,0.7375747561454773,Seconds,1.0570200681686401,0.7375747561454773,,
4,1.0,ECO,2,0,2.411874532699585,Joules,,,2.411874532699585,2.899292230606079
5,1.0,PERFORMANCE,2,1,0.7804035544395447,Seconds,1.0767556428909302,0.7804035544395447,,
5,1.0,ECO,2,0,2.691628932952881,Joules,,,2.691628932952881,3.160630941390991
6,1.0,PERFORMANCE,2,1,0.3837180733680725,Seconds,0.5415614247322083,0.3837180733680725,,
6,1.0,ECO,2,0,2.7340004444122314,Joules,,,2.7340004444122314,3.23419189453125
7,1.0,PERFORMANCE,2,1,1.543397068977356,Seconds,1.9092572927474976,1.543397068977356,,
7,1.0,ECO,2,0,3.270096778869629,Joules,,,3.270096778869629,3.640369176864624
8,1.0,PERFORMANCE,2,1,0.5115883946418762,Seconds,0.737937867641449,0.5115883946418762,,
8,1.0,ECO,2,0,2.457235813140869,Joules,,,2.457235813140869,2.876384973526001
9,1.0,PERFORMANCE,2,1,0.9976200461387634,Seconds,1.3645050525665283,0.9976200461387634,,
9,1.0,ECO,2,0,2.7522430419921875,Joules,,,2.7522430419921875,3.26846981048584
10,1.0,PERFORMANCE,2,1,0.34917759895324707,Seconds,0.5466369390487671,0.34917759895324707,,
10,1.0,ECO,2,0,2.3213999271392822,Joules,,,2.3213999271392822,2.785834312438965
11,1.0,PERFORMANCE,2,1,0.24275560677051544,Seconds,0.38213685154914856,0.24275560677051544,,
11,1.0,ECO,2,0,1.6812819242477417,Joules,,,1.6812819242477417,2.1068365573883057
12,1.0,PERFORMANCE,2,1,0.6949554681777954,Seconds,0.9779776930809021,0.6949554681777954,,
12,1.0,ECO,2,0,2.6267271041870117,Joules,,,2.6267271041870117,3.0893259048461914
13,1.0,PERFORMANCE,2,1,0.24508443474769592,Seconds,0.30641382932662964,0.24508443474769592,,
13,1.0,ECO,2,0,2.2693252563476562,Joules,,,2.2693252563476562,2.757871627807617
14,1.0,PERFORMANCE,2,1,0.18658696115016937,Seconds,0.24343350529670715,0.18658696115016937,,
14,1.0,ECO,2,0,1.9675395488739014,Joules,,,1.9675395488739014,2.449850559234619
15,1.0,PERFORMANCE,2,1,0.1757553666830063,Seconds,0.21982650458812714,0.1757553666830063,,
15,1.0,ECO,2,0,2.314626693725586,Joules,,,2.314626693725586,2.820901870727539
16,1.0,PERFORMANCE,2,1,0.30033576488494873,Seconds,0.4100114405155182,0.30033576488494873,,
16,1.0,ECO,2,0,1.7836471796035767,Joules,,,1.7836471796035767,2.272336483001709
17,1.0,PERFORMANCE,2,1,0.17141763865947723,Seconds,0.2226840853691101,0.17141763865947723,,
17,1.0,ECO,2,0,2.601012706756592,Joules,,,2.601012706756592,3.0536112785339355
18,1.0,PERFORMANCE,2,1,1.5836665630340576,Seconds,1.9752477407455444,1.5836665630340576,,
18,1.0,ECO,2,0,3.662036180496216,Joules,,,3.662036180496216,4.0669636726379395
19,1.0,PERFORMANCE,2,1,0.17161467671394348,Seconds,0.23090586066246033,0.17161467671394348,,
19,1.0,ECO,2,0,1.643553376197815,Joules,,,1.643553376197815,2.1102843284606934
20,1.0,PERFORMANCE,2,1,0.9877476692199707,Seconds,1.3575512170791626,0.9877476692199707,,
20,1.0,ECO,2,0,3.960568904876709,Joules,,,3.960568904876709,4.399226665496826
21,1.0,PERFORMANCE,2,1,0.9591298699378967,Seconds,1.2387192249298096,0.9591298699378967,,
21,1.0,ECO,2,0,3.56231689453125,Joules,,,3.56231689453125,3.9015204906463623
22,1.0,PERFORMANCE,2,1,0.2626579999923706,Seconds,0.33349117636680603,0.2626579999923706,,
22,1.0,ECO,2,0,1.849589467048645,Joules,,,1.849589467048645,2.3211255073547363
1,3.0,PERFORMANCE,2,1,3.438582420349121,Seconds,3.4952151775360107,3.438582420349121,,
1,3.0,ECO,2,0,5.480702877044678,Joules,,,5.480702877044678,5.749762535095215
2,3.0,PERFORMANCE,2,0,3.007913827896118,Seconds,3.007913827896118,3.081963539123535,,
2,3.0,ECO,2,0,4.704741477966309,Joules,,,4.704741477966309,5.153066158294678
3,3.0,PERFORMANCE,2,1,1.9266256093978882,Seconds,2.2468273639678955,1.9266256093978882,,
3,3.0,ECO,2,0,4.022356033325195,Joules,,,4.022356033325195,4.435439586639404
4,3.0,PERFORMANCE,2,1,2.2181501388549805,Seconds,2.6073477268218994,2.2181501388549805,,
4,3.0,ECO,2,0,3.6843080520629883,Joules,,,3.6843080520629883,4.164917469024658
5,3.0,PERFORMANCE,2,1,2.353591203689575,Seconds,2.68670916557312,2.353591203689575,,
5,3.0,ECO,2,0,4.025491714477539,Joules,,,4.025491714477539,4.395002841949463
6,3.0,PERFORMANCE,2,1,1.4207266569137573,Seconds,1.8174010515213013,1.4207266569137573,,
6,3.0,ECO,2,0,4.051835060119629,Joules,,,4.051835060119629,4.470303535461426
7,3.0,PERFORMANCE,2,1,3.418344020843506,Seconds,3.689781665802002,3.418344020843506,,
7,3.0,ECO,2,0,4.361764907836914,Joules,,,4.361764907836914,4.980067253112793
8,3.0,PERFORMANCE,2,0,1.661305546760559,Seconds,1.661305546760559,1.764288306236267,,
8,3.0,ECO,2,0,3.214273691177368,Joules,,,3.214273691177368,3.945671796798706
9,3.0,PERFORMANCE,2,1,2.794041872024536,Seconds,3.080000877380371,2.794041872024536,,
9,3.0,ECO,2,0,4.33112096786499,Joules,,,4.33112096786499,4.655277729034424
10,3.0,PERFORMANCE,2,1,1.443899393081665,Seconds,1.7441047430038452,1.443899393081665,,
10,3.0,ECO,2,0,3.657134771347046,Joules,,,3.657134771347046,4.1037726402282715
11,3.0,PERFORMANCE,2,1,1.1232331991195679,Seconds,1.5665607452392578,1.1232331991195679,,
11,3.0,ECO,2,0,3.018847703933716,Joules,,,3.018847703933716,3.3575873374938965
12,3.0,PERFORMANCE,2,1,2.0997822284698486,Seconds,2.5330584049224854,2.0997822284698486,,
12,3.0,ECO,2,0,3.985886335372925,Joules,,,3.985886335372925,4.320672988891602
13,3.0,PERFORMANCE,2,1,0.7786622643470764,Seconds,0.9853659868240356,0.7786622643470764,,
13,3.0,ECO,2,0,3.2395286560058594,Joules,,,3.2395286560058594,3.860445022583008
14,3.0,PERFORMANCE,2,1,0.7105081081390381,Seconds,0.9131788611412048,0.7105081081390381,,
14,3.0,ECO,2,0,3.1518473625183105,Joules,,,3.1518473625183105,3.6601130962371826
15,3.0,PERFORMANCE,2,1,0.4611678719520569,Seconds,0.6592845320701599,0.4611678719520569,,
15,3.0,ECO,2,0,3.49922513961792,Joules,,,3.49922513961792,3.9896576404571533
16,3.0,PERFORMANCE,2,1,1.1612305641174316,Seconds,1.207140564918518,1.1612305641174316,,
