Query_ID,Scale_GB,Postgres_Native_Estimated_Cost,Postgres_Native_Estimated_Rows,Actual_Execution_Time_Sec,Actual_Energy_Consumption_Joules,Actual_Hardware_Wattage
1,1,231102.36,6.0,1.51,21.76,14.410596026490067
2,1,53402.98,1.0,5.85,61.48,10.50940170940171
3,1,221645.91,308394.0,1.18,26.48,22.440677966101696
4,1,67813.74,5.0,0.32,6.68,20.875
5,1,83217.48,25.0,1.1,15.96,14.509090909090908
6,1,170095.92,1.0,0.29,4.01,13.827586206896552
7,1,70826.65,6030.0,5.65,60.86,10.771681415929203
8,1,75844.62,2406.0,0.6,8.56,14.266666666666667
9,1,98515.76,60150.0,2.39,28.72,12.016736401673638
10,1,172814.49,54598.0,0.75,14.81,19.746666666666666
11,1,10184.5,10667.0,0.16,2.02,12.625
12,1,209737.6,7.0,0.44,5.53,12.568181818181818
13,1,137253.97,200.0,0.75,9.64,12.853333333333333
14,1,157715.84,1.0,0.29,3.66,12.620689655172415
15,1,231102.36,6.0,0.66,7.86,11.909090909090908
16,1,36129.79,16183.0,0.5,5.99,11.98
17,1,196006.03,1.0,0.76,6.76,8.894736842105262
18,1,543592.15,516308.0,1.96,26.31,13.423469387755102
19,1,32689.89,1.0,0.13,2.79,21.46153846153846
20,1,164287.53,107.0,1.14,13.14,11.526315789473685
21,1,72228.16,1.0,2.29,32.63,14.248908296943233
22,1,13102.33,749.0,0.21,4.64,22.095238095238095
1,3,708884.28,6.0,9.72,143.75,14.78909465020576
2,3,172731.25,1.0,25.88,236.46,9.136785162287481
3,3,867411.19,944723.0,1.44,19.35,13.437500000000002
4,3,168791.48,5.0,1.93,23.36,12.103626943005182
5,3,306534.11,25.0,9.33,129.82,13.914255091103964
6,3,525948.36,1.0,1.38,19.25,13.949275362318842
7,3,218322.31,10036.0,53.44,579.67,10.847118263473053
8,3,233430.08,2406.0,2.12,24.6,11.60377358490566
9,3,330672.25,60150.0,27.18,380.32,13.992641648270787
10,3,577554.83,169636.0,2.05,23.18,11.307317073170733
11,3,37434.26,32004.0,2.99,23.58,7.886287625418059
12,3,660083.7,7.0,1.63,21.82,13.386503067484664
13,3,419009.35,200.0,2.08,26.79,12.879807692307692
14,3,492166.47,1.0,0.93,11.02,11.849462365591396
15,3,708884.28,6.0,2.85,37.11,13.021052631578947
16,3,108066.47,47468.0,0.95,11.94,12.56842105263158
17,3,601796.3,1.0,3.67,34.66,9.444141689373296
18,3,1262014.33,517485.0,28.38,375.84,13.243128964059196
19,3,99863.99,1.0,0.39,6.32,16.205128205128204
20,3,711209.56,323.0,16.81,178.1,10.594883997620464
21,3,573560.78,1.0,2.04,29.83,14.622549019607842
22,3,36293.61,2251.0,0.29,4.47,15.413793103448276
1,5,1180543.74,6.0,20.55,337.64,16.4301703163017
2,5,594806.57,1.0,44.71,491.33,10.989264146723327
3,5,1598387.53,1564652.0,8.46,154.32,18.241134751773046
4,5,281449.09,5.0,14.12,189.31,13.407223796033994
5,5,901826.56,25.0,14.27,195.35,13.689558514365803
6,5,876058.17,1.0,1.75,25.63,14.645714285714286
7,5,1020809.44,10052.0,46.81,61.91,1.3225806451612903
8,5,550185.84,2406.0,4.77,69.74,14.620545073375263
9,5,1252537.57,60150.0,19.75,396.04,20.052658227848102
10,5,1076317.91,266510.0,6.54,121.16,18.525993883792047
11,5,55283.36,53330.0,27.21,388.0,14.259463432561558
12,5,1126642.76,7.0,15.75,315.75,20.047619047619047
13,5,714675.24,200.0,6.95,109.7,15.784172661870503
14,5,819913.64,1.0,1.87,25.5,13.636363636363635
15,5,1180543.74,6.0,5.02,67.2,13.386454183266935
16,5,182124.73,78901.0,1.5,28.88,19.253333333333334
17,5,1001558.58,1.0,29.27,322.03,11.002049880423641
18,5,2268208.55,520275.0,52.47,778.89,14.844482561463694
19,5,159332.96,1.0,1.27,10.97,8.637795275590552
20,5,1911681.34,539.0,78.18,811.68,10.382194934765923
21,5,976100.24,1.0,9.89,190.62,19.27401415571284
22,5,58969.31,3666.0,0.38,6.25,16.44736842105263
